Timestamp,Value
3/07/11 6:25,2
3/07/11 9:15,3
3/07/11 12:00,3
3/07/11 12:03,2
3/07/11 20:23,0
3/08/11 20:23,2
3/09/11 20:23,3
3/10/11 20:23,3
3/11/11 20:23,2
3/12/11 20:23,0
3/13/11 20:23,2
3/14/11 20:23,3
3/15/11 20:23,3
3/16/11 20:23,2
3/17/11 20:23,0
3/18/11 20:23,2
3/19/11 20:23,3
3/20/11 20:23,3
3/21/11 20:23,2
3/22/11 20:23,0
3/23/11 20:23,2
3/24/11 20:23,3
3/25/11 20:23,3
3/26/11 20:23,2
3/27/11 20:23,0
3/28/11 20:23,2
3/29/11 20:23,3
3/30/11 20:23,3
3/31/11 20:23,2
4/01/11 20:23,0
4/02/11 20:23,2
4/03/11 20:23,3
4/04/11 20:23,3
4/05/11 20:23,2
4/06/11 20:23,0
4/07/11 20:23,2
4/08/11 20:23,3
4/09/11 20:23,3
4/10/11 20:23,2
4/11/11 20:23,0
4/12/11 20:23,2
4/13/11 20:23,3
4/14/11 20:23,3
4/15/11 20:23,2
4/16/11 20:23,0
4/17/11 20:23,2
4/18/11 20:23,3
4/19/11 20:23,3
4/20/11 20:23,2
4/21/11 20:23,0
4/22/11 20:23,2
4/23/11 20:23,3
4/24/11 20:23,3
4/25/11 20:23,2
4/26/11 20:23,0
4/27/11 20:23,2
4/28/11 20:23,3
4/29/11 20:23,3
4/30/11 20:23,2
5/01/11 20:23,0
5/02/11 20:23,2
5/03/11 20:23,3
5/04/11 20:23,3
5/05/11 20:23,2
5/06/11 20:23,0
5/07/11 20:23,2
5/08/11 20:23,3
5/09/11 20:23,3
5/10/11 20:23,2
5/11/11 20:23,0
5/12/11 20:23,2
5/13/11 20:23,3
5/14/11 20:23,3
5/15/11 20:23,2
5/16/11 20:23,0
5/17/11 20:23,2
5/18/11 20:23,3
5/19/11 20:23,3
5/20/11 20:23,2
5/21/11 20:23,0
5/22/11 20:23,2
5/23/11 20:23,3
5/24/11 20:23,3
5/25/11 20:23,2
5/26/11 20:23,0
5/27/11 20:23,2
5/28/11 20:23,3
5/29/11 20:23,3
5/30/11 20:23,2
5/31/11 20:23,0
6/01/11 20:23,2
6/02/11 20:23,3
6/03/11 20:23,3
6/04/11 20:23,2
6/05/11 20:23,0
6/06/11 20:23,2
6/07/11 20:23,3
6/08/11 20:23,3
